iter	Passed	Remaining
0	88	133018
1	113	84913
2	133	66820
3	147	55167
4	166	49825
5	186	46508
6	201	42960
7	215	40168
8	229	38043
9	243	36297
10	256	34778
11	270	33566
12	284	32537
13	299	31779
14	313	31048
15	327	30352
16	343	30000
17	358	29529
18	371	28987
19	385	28518
20	398	28083
21	412	27707
22	426	27381
23	441	27137
24	457	26976
25	470	26651
26	483	26375
27	496	26104
28	510	25876
29	522	25622
30	535	25397
31	551	25292
32	564	25102
33	577	24918
34	592	24788
35	604	24602
36	619	24482
37	634	24407
38	646	24236
39	660	24091
40	672	23932
41	687	23853
42	699	23715
43	714	23643
44	726	23504
45	739	23369
46	752	23266
47	768	23247
48	782	23177
49	795	23077
50	808	22976
51	822	22891
52	834	22783
53	847	22693
54	861	22625
55	874	22542
56	887	22478
57	901	22419
58	915	22355
59	928	22290
60	941	22211
61	953	22115
62	966	22050
63	987	22146
64	1004	22172
65	1017	22107
66	1032	22073
67	1044	21993
68	1057	21925
69	1070	21861
70	1084	21825
71	1098	21779
72	1111	21729
73	1125	21688
74	1139	21642
75	1152	21599
76	1166	21555
77	1179	21495
78	1192	21448
79	1205	21396
80	1218	21347
81	1231	21301
82	1244	21251
83	1258	21207
84	1275	21226
85	1288	21188
86	1301	21140
87	1314	21097
88	1328	21055
89	1341	21015
90	1355	20986
91	1368	20946
92	1381	20902
93	1394	20862
94	1407	20817
95	1419	20762
96	1432	20725
97	1446	20690
98	1459	20660
99	1473	20628
100	1486	20588
101	1498	20543
102	1511	20502
103	1524	20466
104	1537	20426
105	1551	20399
106	1565	20379
107	1577	20334
108	1589	20287
109	1602	20253
110	1616	20222
111	1629	20198
112	1642	20163
113	1655	20130
114	1669	20101
115	1681	20067
116	1695	20041
117	1709	20023
118	1722	19987
119	1735	19960
120	1749	19936
121	1761	19898
122	1774	19862
123	1787	19835
124	1800	19804
125	1812	19767
126	1825	19735
127	1838	19709
128	1852	19688
129	1866	19674
130	1880	19650
131	1893	19628
132	1907	19603
133	1920	19575
134	1933	19553
135	1947	19529
136	1960	19507
137	1973	19479
138	1986	19453
139	1999	19426
140	2012	19400
141	2026	19375
142	2038	19349
143	2052	19331
144	2065	19306
145	2079	19282
146	2092	19255
147	2103	19219
148	2117	19196
149	2131	19179
150	2144	19162
151	2157	19135
152	2170	19106
153	2183	19087
154	2196	19063
155	2210	19045
156	2224	19026
157	2237	19000
158	2251	18987
159	2264	18967
160	2278	18949
161	2291	18929
162	2306	18919
163	2319	18897
164	2332	18874
165	2346	18854
166	2359	18833
167	2373	18816
168	2385	18788
169	2399	18769
170	2411	18742
171	2425	18723
172	2437	18696
173	2451	18678
174	2463	18653
175	2476	18630
176	2489	18609
177	2502	18587
178	2516	18574
179	2530	18557
180	2543	18537
181	2556	18516
182	2570	18501
183	2584	18487
184	2597	18462
185	2609	18433
186	2622	18411
187	2635	18391
188	2648	18370
189	2661	18349
190	2673	18325
191	2687	18308
192	2700	18287
193	2713	18269
194	2726	18246
195	2739	18228
196	2751	18201
197	2764	18181
198	2778	18164
199	2791	18145
200	2805	18132
201	2819	18116
202	2832	18097
203	2846	18083
204	2860	18069
205	2872	18045
206	2887	18038
207	2901	18024
208	2923	18061
209	2940	18061
210	2953	18043
211	2967	18026
212	2980	18009
213	2994	17992
214	3007	17974
215	3020	17957
216	3033	17934
217	3045	17911
218	3060	17899
219	3073	17882
220	3087	17866
221	3100	17847
222	3113	17827
223	3126	17809
224	3139	17787
225	3152	17769
226	3166	17758
227	3180	17741
228	3193	17723
229	3207	17710
230	3220	17693
231	3233	17674
232	3246	17656
233	3260	17641
234	3273	17623
235	3287	17607
236	3301	17592
237	3315	17582
238	3330	17570
239	3343	17554
240	3356	17537
241	3370	17519
242	3384	17506
243	3397	17490
244	3410	17470
245	3423	17452
246	3438	17442
247	3455	17445
248	3478	17475
249	3491	17459
250	3506	17446
251	3519	17427
252	3533	17414
253	3545	17393
254	3559	17376
255	3572	17358
256	3585	17342
257	3598	17323
258	3611	17305
259	3624	17284
260	3637	17269
261	3650	17250
262	3664	17235
263	3677	17218
264	3691	17204
265	3704	17186
266	3717	17168
267	3731	17154
268	3745	17138
269	3757	17118
270	3771	17103
271	3784	17084
272	3797	17067
273	3809	17046
274	3822	17027
275	3835	17009
276	3849	16994
277	3863	16980
278	3875	16962
279	3887	16939
280	3899	16917
281	3911	16895
282	3925	16880
283	3937	16860
284	3950	16840
285	3963	16825
286	3975	16804
287	3990	16794
288	4004	16778
289	4016	16759
290	4029	16740
291	4043	16727
292	4057	16715
293	4070	16698
294	4083	16679
295	4095	16659
296	4109	16644
297	4121	16626
298	4135	16609
299	4147	16590
300	4160	16572
301	4174	16559
302	4187	16541
303	4199	16520
304	4212	16502
305	4224	16482
306	4238	16469
307	4250	16450
308	4263	16434
309	4275	16412
310	4288	16393
311	4301	16377
312	4314	16360
313	4326	16341
314	4339	16323
315	4351	16305
316	4363	16284
317	4376	16267
318	4389	16250
319	4402	16234
320	4416	16221
321	4430	16209
322	4443	16191
323	4455	16173
324	4468	16153
325	4480	16134
326	4491	16113
327	4504	16093
328	4515	16073
329	4527	16053
330	4540	16036
331	4552	16016
332	4566	16001
333	4580	15992
334	4594	15977
335	4606	15958
336	4620	15945
337	4634	15933
338	4650	15927
339	4665	15916
340	4680	15907
341	4693	15891
342	4706	15876
343	4721	15865
344	4735	15854
345	4750	15843
346	4763	15828
347	4777	15813
348	4791	15801
349	4805	15789
350	4828	15804
351	4847	15809
352	4860	15792
353	4873	15778
354	4886	15759
355	4899	15743
356	4911	15726
357	4924	15709
358	4937	15691
359	4949	15673
360	4963	15661
361	4976	15645
362	4989	15627
363	5001	15610
364	5014	15592
365	5027	15575
366	5039	15559
367	5052	15541
368	5065	15524
369	5078	15510
370	5090	15492
371	5105	15481
372	5119	15469
373	5131	15450
374	5143	15430
375	5155	15410
376	5167	15394
377	5180	15377
378	5194	15364
379	5207	15348
380	5219	15330
381	5231	15310
382	5243	15293
383	5257	15278
384	5270	15262
385	5282	15246
386	5295	15228
387	5307	15211
388	5320	15196
389	5332	15177
390	5345	15161
391	5358	15145
392	5372	15132
393	5385	15118
394	5398	15102
395	5412	15089
396	5424	15072
397	5437	15055
398	5449	15038
399	5459	15013
400	5484	15030
401	5496	15013
402	5509	14997
403	5522	14981
404	5537	14970
405	5553	14963
406	5566	14948
407	5579	14932
408	5592	14917
409	5605	14902
410	5619	14889
411	5635	14882
412	5649	14869
413	5662	14853
414	5675	14839
415	5688	14823
416	5703	14811
417	5716	14798
418	5729	14781
419	5741	14764
420	5755	14749
421	5768	14735
422	5782	14722
423	5794	14705
424	5808	14691
425	5820	14675
426	5834	14661
427	5847	14646
428	5861	14633
429	5875	14620
430	5889	14607
431	5904	14596
432	5916	14579
433	5929	14563
434	5942	14549
435	5954	14531
436	5968	14517
437	5981	14503
438	5995	14489
439	6008	14474
440	6021	14459
441	6034	14444
442	6047	14429
443	6061	14416
444	6075	14403
445	6088	14388
446	6101	14373
447	6113	14356
448	6126	14341
449	6140	14328
450	6154	14315
451	6168	14302
452	6182	14288
453	6194	14271
454	6207	14257
455	6220	14241
456	6233	14227
457	6247	14213
458	6260	14198
459	6275	14187
460	6288	14172
461	6302	14159
462	6314	14143
463	6328	14130
464	6341	14115
465	6356	14103
466	6369	14088
467	6381	14072
468	6393	14055
469	6408	14045
470	6422	14031
471	6436	14017
472	6450	14005
473	6463	13990
474	6475	13974
475	6489	13960
476	6502	13945
477	6515	13931
478	6528	13915
479	6542	13903
480	6556	13889
481	6569	13874
482	6582	13860
483	6596	13846
484	6609	13832
485	6622	13817
486	6635	13801
487	6648	13786
488	6660	13770
489	6674	13758
490	6687	13742
491	6699	13725
492	6712	13710
493	6724	13694
494	6747	13699
495	6764	13691
496	6776	13675
497	6789	13660
498	6802	13645
499	6815	13631
500	6825	13610
501	6834	13588
502	6847	13572
503	6861	13559
504	6875	13546
505	6885	13525
506	6893	13501
507	6901	13477
508	6914	13461
509	6922	13437
510	6931	13416
511	6940	13392
512	6949	13371
513	6958	13349
514	6968	13328
515	6977	13306
516	6986	13282
517	6997	13266
518	7010	13251
519	7020	13230
520	7033	13216
521	7042	13195
522	7051	13173
523	7061	13153
524	7071	13132
525	7080	13110
526	7090	13090
527	7098	13068
528	7108	13047
529	7120	13031
530	7132	13015
531	7141	12994
532	7153	12978
533	7166	12963
534	7180	12951
535	7193	12937
536	7205	12922
537	7218	12906
538	7230	12891
539	7242	12875
540	7252	12855
541	7262	12836
542	7272	12817
543	7282	12797
544	7295	12783
545	7309	12771
546	7321	12756
547	7335	12743
548	7347	12728
549	7356	12706
550	7365	12686
551	7375	12666
552	7387	12651
553	7400	12636
554	7414	12623
555	7427	12610
556	7439	12595
557	7452	12580
558	7464	12565
559	7477	12552
560	7490	12538
561	7503	12523
562	7515	12507
563	7528	12494
564	7542	12481
565	7551	12462
566	7561	12441
567	7573	12427
568	7583	12407
569	7592	12388
570	7602	12368
571	7611	12348
572	7620	12329
573	7630	12309
574	7639	12289
575	7652	12275
576	7665	12262
577	7677	12247
578	7690	12233
579	7702	12218
580	7715	12203
581	7729	12191
582	7741	12177
583	7754	12162
584	7767	12148
585	7778	12131
586	7790	12116
587	7801	12100
588	7814	12085
589	7826	12071
590	7838	12056
591	7852	12044
592	7861	12023
593	7873	12009
594	7886	11995
595	7898	11980
596	7911	11966
597	7923	11951
598	7933	11932
599	7942	11913
600	7952	11895
601	7961	11876
602	7971	11857
603	7980	11838
604	7989	11819
605	7998	11800
606	8008	11781
607	8017	11762
608	8026	11743
609	8036	11724
610	8045	11706
611	8055	11688
612	8065	11670
613	8075	11652
614	8087	11638
615	8111	11640
616	8123	11625
617	8133	11607
618	8141	11587
619	8151	11569
620	8160	11550
621	8169	11531
622	8179	11514
623	8188	11494
624	8196	11474
625	8205	11456
626	8213	11435
627	8223	11418
628	8233	11401
629	8243	11383
630	8253	11366
631	8263	11349
632	8274	11332
633	8283	11315
634	8292	11295
635	8306	11284
636	8317	11268
637	8332	11258
638	8341	11239
639	8355	11227
640	8365	11210
641	8375	11192
642	8385	11175
643	8393	11156
644	8404	11141
645	8414	11124
646	8424	11106
647	8432	11087
648	8443	11071
649	8452	11053
650	8461	11034
651	8471	11017
652	8483	11003
653	8496	10991
654	8508	10976
655	8521	10963
656	8535	10951
657	8549	10939
658	8556	10920
659	8566	10902
660	8574	10883
661	8582	10864
662	8592	10847
663	8604	10833
664	8611	10813
665	8622	10797
666	8632	10780
667	8642	10764
668	8650	10744
669	8660	10728
670	8669	10711
671	8680	10695
672	8690	10679
673	8701	10663
674	8712	10648
675	8723	10633
676	8733	10616
677	8743	10600
678	8753	10583
679	8763	10567
680	8776	10554
681	8785	10538
682	8797	10523
683	8806	10506
684	8816	10490
685	8826	10473
686	8836	10457
687	8845	10440
688	8855	10423
689	8864	10406
690	8874	10389
691	8884	10373
692	8893	10356
693	8906	10343
694	8917	10328
695	8926	10311
696	8935	10294
697	8948	10281
698	8957	10265
699	8969	10251
700	8982	10238
701	8995	10225
702	9010	10214
703	9022	10201
704	9032	10185
705	9042	10169
706	9051	10152
707	9061	10136
708	9071	10120
709	9083	10106
710	9093	10091
711	9105	10076
712	9118	10065
713	9131	10052
714	9146	10041
715	9159	10029
716	9171	10016
717	9184	10003
718	9197	9991
719	9213	9981
720	9225	9967
721	9237	9954
722	9246	9936
723	9256	9920
724	9268	9907
725	9280	9894
726	9290	9878
727	9300	9862
728	9309	9845
729	9319	9829
730	9332	9817
731	9346	9805
732	9358	9792
733	9372	9780
734	9384	9767
735	9395	9753
736	9409	9741
737	9418	9725
738	9426	9707
739	9437	9692
740	9445	9674
741	9454	9658
742	9463	9642
743	9471	9624
744	9481	9609
745	9491	9593
746	9500	9576
747	9509	9560
748	9518	9544
749	9530	9530
750	9544	9518
751	9553	9502
752	9566	9490
753	9575	9473
754	9587	9460
755	9596	9444
756	9606	9429
757	9615	9413
758	9625	9397
759	9635	9381
760	9645	9366
761	9654	9350
762	9663	9334
763	9672	9317
764	9681	9301
765	9690	9285
766	9700	9270
767	9708	9253
768	9718	9237
769	9727	9222
770	9741	9210
771	9749	9194
772	9759	9178
773	9769	9163
774	9779	9148
775	9791	9135
776	9804	9122
777	9817	9110
778	9829	9098
779	9839	9082
780	9852	9070
781	9864	9057
782	9872	9040
783	9882	9025
784	9892	9010
785	9902	8995
786	9910	8978
787	9919	8963
788	9928	8947
789	9937	8931
790	9946	8915
791	9956	8900
792	9965	8885
793	9980	8874
794	9994	8863
795	10005	8849
796	10018	8836
797	10027	8821
798	10036	8805
799	10046	8790
800	10054	8774
801	10064	8759
802	10072	8743
803	10082	8727
804	10091	8712
805	10100	8697
806	10109	8681
807	10117	8665
808	10126	8649
809	10135	8633
810	10142	8616
811	10151	8600
812	10161	8586
813	10171	8571
814	10180	8556
815	10191	8542
816	10199	8526
817	10208	8511
818	10219	8497
819	10229	8482
820	10237	8466
821	10246	8451
822	10255	8436
823	10264	8421
824	10274	8406
825	10283	8390
826	10292	8375
827	10302	8361
828	10312	8347
829	10320	8331
830	10330	8316
831	10339	8301
832	10349	8286
833	10368	8280
834	10379	8266
835	10388	8250
836	10397	8236
837	10406	8221
838	10414	8205
839	10423	8190
840	10432	8174
841	10441	8160
842	10451	8145
843	10461	8131
844	10470	8115
845	10478	8100
846	10487	8085
847	10497	8070
848	10506	8055
849	10515	8040
850	10527	8028
851	10554	8027
852	10565	8013
853	10573	7998
854	10582	7982
855	10590	7967
856	10598	7952
857	10607	7937
858	10619	7924
859	10631	7911
860	10640	7897
861	10649	7881
862	10657	7866
863	10666	7851
864	10674	7835
865	10682	7820
866	10690	7805
867	10699	7790
868	10707	7774
869	10715	7759
870	10725	7745
871	10733	7730
872	10742	7715
873	10751	7700
874	10759	7685
875	10767	7670
876	10776	7655
877	10784	7640
878	10792	7624
879	10800	7609
880	10809	7594
881	10817	7579
882	10826	7564
883	10834	7549
884	10843	7535
885	10851	7520
886	10859	7505
887	10868	7490
888	10882	7479
889	10903	7473
890	10911	7458
891	10920	7443
892	10929	7429
893	10938	7414
894	10946	7399
895	10955	7385
896	10962	7369
897	10971	7355
898	10980	7340
899	10988	7325
900	10997	7311
901	11005	7296
902	11013	7281
903	11021	7266
904	11029	7251
905	11037	7236
906	11050	7224
907	11063	7212
908	11071	7198
909	11080	7183
910	11093	7172
911	11103	7159
912	11114	7145
913	11123	7131
914	11131	7117
915	11140	7102
916	11148	7087
917	11156	7073
918	11165	7058
919	11173	7044
920	11182	7030
921	11191	7015
922	11199	7001
923	11208	6986
924	11216	6972
925	11224	6957
926	11232	6943
927	11240	6928
928	11249	6914
929	11258	6900
930	11266	6886
931	11275	6871
932	11284	6857
933	11293	6843
934	11301	6829
935	11310	6815
936	11318	6800
937	11326	6786
938	11335	6772
939	11345	6758
940	11353	6744
941	11362	6730
942	11371	6716
943	11381	6703
944	11392	6690
945	11400	6676
946	11408	6661
947	11416	6647
948	11424	6632
949	11431	6618
950	11440	6604
951	11448	6589
952	11456	6575
953	11464	6561
954	11473	6547
955	11482	6533
956	11491	6520
957	11499	6506
958	11508	6492
959	11516	6478
960	11525	6464
961	11537	6452
962	11547	6439
963	11555	6425
964	11564	6411
965	11572	6397
966	11580	6383
967	11588	6369
968	11597	6355
969	11605	6341
970	11613	6327
971	11622	6313
972	11630	6299
973	11639	6285
974	11647	6271
975	11655	6257
976	11663	6243
977	11671	6229
978	11679	6215
979	11687	6201
980	11695	6187
981	11703	6173
982	11712	6159
983	11720	6145
984	11728	6132
985	11736	6118
986	11746	6105
987	11754	6091
988	11762	6077
989	11770	6063
990	11778	6049
991	11786	6036
992	11795	6022
993	11804	6008
994	11812	5995
995	11820	5981
996	11828	5967
997	11836	5953
998	11844	5940
999	11852	5926
1000	11861	5913
1001	11870	5899
1002	11877	5885
1003	11886	5872
1004	11894	5858
1005	11903	5845
1006	11912	5831
1007	11920	5818
1008	11929	5804
1009	11937	5791
1010	11945	5777
1011	11953	5764
1012	11961	5750
1013	11970	5737
1014	11978	5723
1015	11986	5709
1016	11994	5696
1017	12002	5682
1018	12010	5669
1019	12018	5655
1020	12027	5642
1021	12036	5629
1022	12044	5615
1023	12052	5602
1024	12060	5589
1025	12069	5575
1026	12076	5562
1027	12084	5548
1028	12092	5535
1029	12100	5521
1030	12108	5508
1031	12116	5494
1032	12124	5481
1033	12132	5467
1034	12141	5454
1035	12149	5441
1036	12157	5428
1037	12165	5414
1038	12173	5401
1039	12181	5387
1040	12189	5374
1041	12197	5361
1042	12205	5348
1043	12213	5334
