feature,importance
elo_diff,0.0997647
surface_elo_diff,0.041525573
rank_edge,0.020341333
tourney_level_D,0.011862518
opponent_surface_elo_avg_last_100_diff,0.0105892
opponent_elo_avg_last_100_diff,0.008559194
hand_unknown_sum,0.008023063
matches_last_30_days_diff,0.0076757465
surface_game_margin_avg_last_25_diff,0.0074667684
surface_point_win_rate_last_25_diff,0.007354978
surface_matches_diff,0.006358908
point_win_rate_last_10_diff,0.006006987
season_surface_matches_diff,0.0059317215
reliability_career_matches_min,0.005265257
reliability_surface_matches_min,0.004997906
quality_weighted_point_win_rate_last_10_diff,0.004780641
round_RR,0.004770048
draw_size_rounds,0.0045830677
game_margin_avg_last_100_diff,0.004495881
draw_size,0.0041842726
surface_straight_set_win_pct_last_25_diff,0.0041406816
surface_serve_elo_diff,0.0038579097
opponent_elo_avg_last_50_diff,0.0038199085
surface_point_win_rate_last_10_diff,0.0034217576
age_diff,0.003353052
reliability_surface_matches_imbalance,0.0032924565
service_points_won_rate_last_10_diff,0.0032766685
straight_set_win_pct_last_100_diff,0.0032227167
best_of,0.003218591
game_margin_avg_last_10_diff,0.0031681086
surface_vs_opp_hand_point_win_rate_diff,0.0030853986
serve_elo_diff,0.0030373058
season_point_win_rate_diff,0.0029730052
surface_game_margin_avg_last_10_diff,0.0029074436
surface_return_elo_diff,0.0028744591
surface_elo_shrunk_diff,0.0028597324
tourney_matches_diff,0.0028433818
best_of_5,0.0027322848
days_since_last_match_diff,0.0024841197
game_margin_avg_last_50_diff,0.0024717355
quality_weighted_point_win_rate_last_25_diff,0.002440436
reliability_matches_last_30_days_min,0.002420496
days_since_last_surface_match_diff,0.002399614
season_service_points_won_rate_diff,0.0023868226
surface_Clay,0.0023561162
surface_vs_opp_hand_matches_diff,0.002352164
minutes_last_30_days_diff,0.0022940233
point_win_rate_last_50_diff,0.0022668282
reliability_season_surface_matches_imbalance,0.0022267085
surface_Grass,0.0022191028
win_rate_last_100_sum,0.002208931
surface_win_rate_sum,0.0021861866
point_win_rate_last_50_sum,0.002151232
tourney_level_G,0.0021169875
opponent_surface_elo_avg_last_50_diff,0.0021086028
elo_sum,0.0020909887
game_margin_avg_last_25_diff,0.0020758675
opponent_elo_avg_last_10_diff,0.0020666951
surface_serve_elo_shrunk_diff,0.002049092
surface_service_points_won_rate_last_10_diff,0.0019939449
reliability_matches_last_14_days_min,0.0019914021
season_surface_point_win_rate_diff,0.001982469
surface_straight_set_win_pct_last_10_diff,0.0019747373
point_win_rate_last_100_sum,0.0019556421
rank_change_28_days_diff,0.0019518532
win_rate_last_10_sum,0.001950235
surface_win_rate_diff,0.0019427764
win_rate_last_50_sum,0.0019174444
win_rate_last_25_diff,0.0019111057
opponent_elo_avg_last_25_diff,0.0019090776
h2h_diff,0.0018930953
elo_delta_avg_last_100_diff,0.0018925307
surface_service_points_won_rate_last_25_diff,0.00189234
rank_change_91_days_diff,0.0018898202
ace_rate_last_100_sum,0.0018870134
tiebreak_win_rate_last_50_diff,0.0018824625
round_order,0.0018764806
surface_point_win_rate_last_25_sum,0.0018707196
point_win_rate_last_25_diff,0.001868395
