feature,importance
elo_diff,0.11188087
surface_elo_shrunk_diff,0.046029337
tourney_level_D,0.041562308
rank_edge,0.024798736
opponent_elo_avg_last_100_diff,0.022337252
surface_elo_diff,0.018719565
win_rate_last_100_diff,0.0140096545
matches_last_30_days_diff,0.01395496
round_order,0.0132077485
opponent_surface_elo_avg_last_100_diff,0.009522036
draw_size,0.009313437
win_rate_last_50_diff,0.007957307
opponent_surface_elo_avg_last_50_diff,0.007598718
surface_service_points_won_rate_last_25_diff,0.0074031022
point_win_rate_last_10_diff,0.0073278863
surface_win_rate_diff,0.007120913
opponent_elo_avg_last_50_diff,0.0067086206
surface_service_points_won_rate_last_10_diff,0.006597106
entry_q_diff,0.0063167415
entry_q_sum,0.0062661357
rank_points_diff,0.006077426
rank_points_change_91_days_diff,0.0058478387
performance_vs_expectation_last_100_diff,0.005793252
service_points_won_rate_last_10_diff,0.005740317
surface_point_win_rate_last_25_diff,0.0056730495
age_diff,0.005526038
days_since_last_surface_match_diff,0.005432552
point_win_rate_last_25_diff,0.005351577
point_win_rate_last_100_diff,0.004791867
win_rate_last_30_days_diff,0.0046372497
point_win_rate_last_50_diff,0.0046010576
elo_delta_avg_last_100_diff,0.0043755528
surface_matches_diff,0.004316335
surface_Grass,0.004235222
service_points_won_rate_last_100_diff,0.0042062183
win_rate_last_14_days_diff,0.00407144
matches_last_14_days_diff,0.004061781
days_since_last_match_diff,0.0038723035
opponent_elo_avg_last_25_sum,0.0038076446
height_diff,0.0036574136
opponent_elo_avg_last_100_sum,0.0035745187
round_R64,0.0035293626
surface_win_rate_last_25_diff,0.0033947984
rank_change_91_days_diff,0.0033939166
surface_matches_sum,0.0033351616
career_win_rate_diff,0.0032581082
second_won_rate_last_25_diff,0.0032300674
return_points_won_rate_last_50_sum,0.0032159828
surface_Clay,0.003186109
surface_elo_gap_diff,0.0031149776
win_rate_last_100_sum,0.0031075438
career_win_rate_sum,0.0031067526
rank_change_28_days_diff,0.0031024572
surface_win_rate_sum,0.0030516789
surface_point_win_rate_last_10_diff,0.0030350566
opponent_elo_avg_last_10_diff,0.0030347442
round_R32,0.0029960116
career_matches_sum,0.0029948684
surface_elo_delta_avg_last_100_diff,0.0029834248
service_points_won_rate_last_25_diff,0.0029786108
round_SF,0.0029771233
tourney_matches_diff,0.002961317
surface_performance_vs_expectation_last_25_diff,0.0029054661
return_points_won_rate_last_10_diff,0.0029003243
opponent_surface_elo_avg_last_25_sum,0.0028888583
second_won_rate_last_100_diff,0.0028793404
first_won_rate_last_10_diff,0.0028649638
surface_win_rate_last_10_sum,0.0028425183
ace_rate_last_25_diff,0.0028239437
