tourney_name,matches,correct,accuracy
Indian Wells,89.0,68.0,0.7640449438202247
Doha,55.0,35.0,0.6363636363636364
Dubai,55.0,40.0,0.7272727272727273
Wuhan,55.0,36.0,0.6545454545454545
Brisbane,47.0,34.0,0.723404255319149
Auckland,31.0,23.0,0.7419354838709677
Chennai,31.0,15.0,0.4838709677419355
Guangzhou,31.0,18.0,0.5806451612903226
Hobart,31.0,17.0,0.5483870967741935
Hong Kong,31.0,26.0,0.8387096774193549
Jiujiang,31.0,16.0,0.5161290322580645
Pan Pacific Open,31.0,18.0,0.5806451612903226
Abu Dhabi,27.0,15.0,0.5555555555555556
Ningbo,27.0,16.0,0.5925925925925926
Tokyo,27.0,21.0,0.7777777777777778
Riyadh Finals,15.0,11.0,0.7333333333333333
